,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
56,RS Kaluwitharana,132*,203,158,26,0,,Sri Lanka,v Australia,Colombo (SSC),17 Aug 1992,Test # 1194
57,DL Houghton,121,414,322,15,0,,Zimbabwe,v India,Harare,18 Oct 1992,Test # 1197
58,PK Amre,103,374,299,11,0,,India,v South Africa,Durban,13 Nov 1992,Test # 1200
59,GP Thorpe,114*,335,280,11,0,,England,v Australia,Nottingham,1 Jul 1993,Test # 1225
60,GS Blewett,102*,261,180,12,0,,Australia,v England,Adelaide,26 Jan 1995,Test # 1284
61,SC Ganguly,131,435,301,20,0,,India,v England,Lord's,20 Jun 1996,Test # 1328
62,Mohammad Wasim,109*,215,165,17,0,,Pakistan,v New Zealand,Lahore,21 Nov 1996,Test # 1339
63,Ali Naqvi,115,352,270,14,0,,Pakistan,v South Africa,Rawalpindi,6 Oct 1997,Test # 1380
64,Azhar Mahmood,128*,350,267,11,1,,Pakistan,v South Africa,Rawalpindi,6 Oct 1997,Test # 1380
65,MS Sinclair,214,534,447,22,0,,New Zealand,v West Indies,Wellington,26 Dec 1999,Test # 1478
66,Younis Khan,107,322,250,11,0,,Pakistan,v Sri Lanka,Rawalpindi,26 Feb 2000,Test # 1485
67,Aminul Islam,145,535,380,17,0,,Bangladesh,v India,Dhaka,10 Nov 2000,Test # 1512
68,H Masakadza,119,388,316,12,0,,Zimbabwe,v West Indies,Harare,27 Jul 2001,Test # 1553
69,TT Samaraweera,103*,201,175,10,0,,Sri Lanka,v India,Colombo (SSC),29 Aug 2001,Test # 1559
70,Taufeeq Umar,104,231,163,15,0,,Pakistan,v Bangladesh,Multan,29 Aug 2001,Test # 1560
71,Mohammad Ashraful,114,248,212,16,0,,Bangladesh,v Sri Lanka,Colombo (SSC),6 Sep 2001,Test # 1561
72,V Sehwag,105,272,173,19,0,,India,v South Africa,Bloemfontein,3 Nov 2001,Test # 1564
73,L Vincent,104,273,208,14,1,,New Zealand,v Australia,Perth,30 Nov 2001,Test # 1573
74,SB Styris,107,232,178,8,1,,New Zealand,v West Indies,St George's,28 Jun 2002,Test # 1608
75,JA Rudolph,222*,521,383,29,2,,South Africa,v Bangladesh,Chattogram,24 Apr 2003,Test # 1640
76,Yasir Hameed,170,313,253,25,0,,Pakistan,v Bangladesh,Karachi,20 Aug 2003,Test # 1655
77,Yasir Hameed,105,229,161,15,0,,Pakistan,v Bangladesh,Karachi,20 Aug 2003,Test # 1655
78,DR Smith,105*,135,105,15,2,,West Indies,v South Africa,Cape Town,2 Jan 2004,Test # 1681
79,AJ Strauss,112,305,215,13,0,,England,v New Zealand,Lord's,20 May 2004,Test # 1700
80,MJ Clarke,151,341,248,18,4,,Australia,v India,Bengaluru,6 Oct 2004,Test # 1713
81,AN Cook,104*,364,243,12,0,,England,v India,Nagpur,1 Mar 2006,Test # 1785
82,MJ Prior,126*,146,128,19,0,,England,v West Indies,Lord's,17 May 2007,Test # 1831
83,MJ North,117,355,233,12,0,,Australia,v South Africa,Johannesburg,26 Feb 2009,Test # 1910
84,Fawad Alam,168,384,259,15,1,,Pakistan,v Sri Lanka,Colombo (PSS),12 Jul 2009,Test # 1924
85,IJL Trott,119,331,193,12,0,,England,v Australia,The Oval,20 Aug 2009,Test # 1931
86,Umar Akmal,129,219,160,21,2,,Pakistan,v New Zealand,Dunedin,24 Nov 2009,Test # 1934
87,AB Barath,104,178,138,19,0,,West Indies,v Australia,Brisbane,26 Nov 2009,Test # 1936
88,AN Petersen,100,226,164,16,0,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
89,SK Raina,120,294,228,12,2,,India,v Sri Lanka,Colombo (SSC),26 Jul 2010,Test # 1966
90,KS Williamson,131,391,299,10,0,,New Zealand,v India,Ahmedabad,4 Nov 2010,Test # 1974
91,KA Edwards,110,294,195,9,1,,West Indies,v India,Roseau,6 Jul 2011,Test # 1999
92,SE Marsh,141,420,315,18,0,,Australia,v Sri Lanka,Pallekele,8 Sep 2011,Test # 2007
93,Abul Hasan,113,163,123,14,3,,Bangladesh,v West Indies,Khulna,21 Nov 2012,Test # 2060
94,F du Plessis,110*,466,376,14,0,,South Africa,v Australia,Adelaide,22 Nov 2012,Test # 2061
95,HD Rutherford,171,340,217,22,3,,New Zealand,v England,Dunedin,6 Mar 2013,Test # 2077
96,S Dhawan,187,250,174,33,2,,India,v Australia,Mohali,14 Mar 2013,Test # 2081
97,RG Sharma,177,370,301,23,1,,India,v West Indies,Kolkata,6 Nov 2013,Test # 2101
98,JDS Neesham,137*,220,154,20,0,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
99,S van Zyl,101*,171,130,15,0,,South Africa,v West Indies,Centurion,17 Dec 2014,Test # 2150
100,AC Voges,130*,332,247,13,1,,Australia,v West Indies,Roseau,3 Jun 2015,Test # 2164
101,SC Cook,115,320,218,14,0,,South Africa,v England,Centurion,22 Jan 2016,Test # 2200
102,KK Jennings,112,272,219,13,0,,England,v India,Wankhede,8 Dec 2016,Test # 2239
103,TA Blundell,107*,228,180,13,1,,New Zealand,v West Indies,Wellington,1 Dec 2017,Test # 2284
104,KJ O'Brien,118,344,217,12,0,,Ireland,v Pakistan,Dublin (Malahide),11 May 2018,Test # 2303
105,PP Shaw,134,238,154,19,0,,India,v West Indies,Rajkot,4 Oct 2018,Test # 2319
106,BT Foakes,107,-,202,10,0,,England,v Sri Lanka,Galle,6 Nov 2018,Test # 2324
107,Abid Ali,109*,298,201,11,0,,Pakistan,v Sri Lanka,Rawalpindi,11 Dec 2019,Test # 2373
108,KR Mayers,210*,415,310,20,7,,West Indies,v Bangladesh,Chattogram,3 Feb 2021,Test # 2407
109,P Nissanka,103,341,252,6,0,,Sri Lanka,v West Indies,North Sound,21 Mar 2021,Test # 2416
110,DP Conway,200,578,347,22,1,,New Zealand,v England,Lord's,2 Jun 2021,Test # 2422
111,SS Iyer,105,267,171,13,2,,India,v New Zealand,Kanpur,25 Nov 2021,Test # 2435
