,Player,50s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
263,AR Border,5,105,4,,Australia,v Pakistan,Melbourne,10 Mar 1979,Test # 849
264,,,85,2,,Australia,v Pakistan,Perth,24 Mar 1979,Test # 850
265,,,66*,4,,Australia,v Pakistan,Perth,24 Mar 1979,Test # 850
266,,,162,1,,Australia,v India,Chennai,11 Sep 1979,Test # 855
267,,,50,3,,Australia,v India,Chennai,11 Sep 1979,Test # 855
268,IVA Richards,5,140,2,,West Indies,v Australia,Brisbane,1 Dec 1979,Test # 862
269,,,96,2,,West Indies,v Australia,Melbourne,29 Dec 1979,Test # 867
270,,,76,1,,West Indies,v Australia,Adelaide,26 Jan 1980,Test # 870
271,,,74,3,,West Indies,v Australia,Adelaide,26 Jan 1980,Test # 870
272,,,64,2,,West Indies,v England,Nottingham,5 Jun 1980,Test # 880
273,CH Lloyd,5,64,1,,West Indies,v England,Port of Spain,13 Feb 1981,Test # 896
274,,,100,1,,West Indies,v England,Bridgetown,13 Mar 1981,Test # 900
275,,,66,3,,West Indies,v England,Bridgetown,13 Mar 1981,Test # 900
276,,,58,2,,West Indies,v England,St John's,27 Mar 1981,Test # 901
277,,,95,2,,West Indies,v England,Kingston,10 Apr 1981,Test # 902
278,A Ranatunga,5,77,2,,Sri Lanka,v Pakistan,Colombo (CCC),14 Mar 1986,Test # 1041
279,,,53,1,,Sri Lanka,v Pakistan,Colombo (PSS),22 Mar 1986,Test # 1043
280,,,135*,3,,Sri Lanka,v Pakistan,Colombo (PSS),22 Mar 1986,Test # 1043
281,,,52,1,,Sri Lanka,v India,Kanpur,17 Dec 1986,Test # 1061
282,,,59,1,,Sri Lanka,v India,Nagpur,27 Dec 1986,Test # 1063
283,DB Vengsarkar,5,164*,2,,India,v Australia,Wankhede,15 Oct 1986,Test # 1054
284,,,57,2,,India,v Sri Lanka,Kanpur,17 Dec 1986,Test # 1061
285,,,153,2,,India,v Sri Lanka,Nagpur,27 Dec 1986,Test # 1063
286,,,166,1,,India,v Sri Lanka,Cuttack,4 Jan 1987,Test # 1064
287,,,96,2,,India,v Pakistan,Chennai,3 Feb 1987,Test # 1066
288,SV Manjrekar,5,113*,4,,India,v Pakistan,Karachi,15 Nov 1989,Test # 1127
289,,,76,1,,India,v Pakistan,Faisalabad,23 Nov 1989,Test # 1128
290,,,83,3,,India,v Pakistan,Faisalabad,23 Nov 1989,Test # 1128
291,,,218,1,,India,v Pakistan,Lahore,1 Dec 1989,Test # 1130
292,,,72,1,,India,v Pakistan,Sialkot,9 Dec 1989,Test # 1132
293,GA Gooch,5,58,3,,England,v Australia,Melbourne,26 Dec 1990,Test # 1159
294,,,59,2,,England,v Australia,Sydney,4 Jan 1991,Test # 1160
295,,,54,4,,England,v Australia,Sydney,4 Jan 1991,Test # 1160
296,,,87,2,,England,v Australia,Adelaide,25 Jan 1991,Test # 1161
297,,,117,4,,England,v Australia,Adelaide,25 Jan 1991,Test # 1161
298,AJ Stewart,5,107,1,,England,v New Zealand,Wellington,6 Feb 1992,Test # 1187
299,,,63,3,,England,v New Zealand,Wellington,6 Feb 1992,Test # 1187
300,,,190,2,,England,v Pakistan,Birmingham,4 Jun 1992,Test # 1189
301,,,74,1,,England,v Pakistan,Lord's,18 Jun 1992,Test # 1190
302,,,69*,3,,England,v Pakistan,Lord's,18 Jun 1992,Test # 1190
303,GRJ Matthews,5,64,3,,Australia,v Sri Lanka,Colombo (SSC),17 Aug 1992,Test # 1194
304,,,55,1,,Australia,v Sri Lanka,Colombo (RPS),28 Aug 1992,Test # 1195
305,,,51,3,,Australia,v Sri Lanka,Colombo (RPS),28 Aug 1992,Test # 1195
